thread_count,matches,simd_mode,samples,min_thr_bytes,avg_thr_bytes,max_thr_bytes
1,1,sse2,100000,4591856910.336,4602057457.664,4610862140.6208
1,1,avx2,100000,4487703953.408,4505850190.2336,4522278440.1408
2,1,sse2,100000,6855841546.24,6872699292.8768,6885691568.9472
2,1,avx2,100000,6723127056.7936,6742132287.0784,6760385898.0864
3,1,sse2,100000,5460728794.3168,5481881508.2496,5502282602.9056
3,1,avx2,100000,5817211079.8848,5848993837.8752,5880454473.3184
4,1,sse2,100000,6455980090.9824,6467576502.6816,6479387662.7456
4,1,avx2,100000,6810207518.72,6823521917.3376,6836621567.5904
5,1,sse2,100000,7363614054.8096,7377680072.704,7390994471.3216
5,1,avx2,100000,7830369625.7024,7852596081.4592,7873319298.6624
6,1,sse2,100000,7944186259.0464,7961580876.5952,7977364881.408
6,1,avx2,100000,8429517563.4944,8447449051.9552,8463984676.0448
7,1,sse2,100000,8545266932.1216,8554930608.5376,8564379536.5888
7,1,avx2,100000,8957798540.9024,8977448016.2816,8998278607.6672
8,1,sse2,100000,9028772875.4688,9049281344.3072,9066890710.2208
8,1,avx2,100000,9446136322.4576,9461490830.5408,9476952712.8064
9,1,sse2,100000,9247279336.6528,9299033692.5696,9349714306.6624
9,1,avx2,100000,9767936747.1104,9784257622.8352,9800900621.1072
10,1,sse2,100000,9493488336.896,9533324158.5664,9573374728.6016
10,1,avx2,100000,9854158215.5776,9887444212.1216,9920193337.7536
11,1,sse2,100000,9613103176.0896,9632323154.7392,9651113636.6592
11,1,avx2,100000,9909241171.1488,9977101654.4256,10047861240.6272
1,16,sse2,100000,13363790741.504,13383118094.336,13403519188.992
1,16,avx2,100000,23343147253.76,23353884672,23363548348.416
2,16,sse2,100000,21026012397.568,21083994456.064,21138755289.088
2,16,avx2,100000,34677565947.904,34735548006.4,34791382581.248
3,16,sse2,100000,23058605670.4,23136988823.552,23217519460.352
3,16,avx2,100000,32687922348.032,33008971153.408,33347199827.968
4,16,sse2,100000,27331024388.096,27414776250.368,27497454370.816
4,16,avx2,100000,37533719199.744,37589553774.592,37646462091.264
5,16,sse2,100000,30976377880.576,31057982259.2,31138512896
5,16,avx2,100000,42031623700.48,42098195693.568,42162620203.008
6,16,sse2,100000,34475702484.992,34557306863.616,34627100082.176
6,16,avx2,100000,46206331912.192,46232101715.968,46257871519.744
7,16,sse2,100000,37253472583.68,37361920507.904,37464999723.008
7,16,avx2,100000,49209587793.92,49500571828.224,49788334637.056
8,16,sse2,100000,39562017505.28,39753143549.952,39941048369.152
8,16,avx2,100000,52012053954.56,52278341926.912,52548924866.56
9,16,sse2,100000,41503342723.072,41735270957.056,41969346674.688
9,16,avx2,100000,54610509168.64,54743653154.816,54863912239.104
10,16,sse2,100000,43369506013.184,43496207548.416,43614319149.056
10,16,avx2,100000,56455197622.272,56871809449.984,57286273794.048
11,16,sse2,100000,44433584160.768,44700945874.944,44959717654.528
11,16,avx2,100000,55655259963.392,55907589292.032,56155623653.376
1,32,sse2,100000,498463166955.52,500052304855.04,501523331153.92
1,32,avx2,100000,500922035732.48,502360849776.64,503595652874.24
2,32,sse2,100000,735352088166.4,738229716254.72,741150294016
2,32,avx2,100000,745821070950.4,749364418969.6,752650068951.04
3,32,sse2,100000,664571027128.32,667652666163.2,670691355525.12
3,32,avx2,100000,669327703408.64,671786572185.6,674438714490.88
4,32,sse2,100000,783294660608,786472936407.04,789629737369.6
4,32,avx2,100000,791433623633.92,794880334888.96,798198197125.12
5,32,sse2,100000,865425172725.76,869258431037.44,873177588695.04
5,32,avx2,100000,872597768110.08,876699461877.76,880736731136
6,32,sse2,100000,912100729815.04,915611865579.52,919026364579.84
6,32,avx2,100000,920239692840.96,925522502615.04,930783837552.64
7,32,sse2,100000,957938768281.6,962910192926.72,967806455644.16
7,32,avx2,100000,964832190791.68,970351223767.04,976503764418.56
8,32,sse2,100000,969256007106.56,972391333232.64,975719932887.04
8,32,avx2,100000,969256007106.56,972649031270.4,976246066380.8
9,32,sse2,100000,980433659494.4,984556828098.56,988765896048.64
9,32,avx2,100000,986210390507.52,990226184929.28,994478202552.32
10,32,sse2,100000,1032198752829.44,1037932534169.6,1043634103255.04
10,32,avx2,100000,1036321921433.6,1041261133824,1046189608796.16
11,32,sse2,100000,1046833853890.56,1059740230615.04,1072796931194.88
11,32,avx2,100000,1045727899811.84,1058043718533.12,1070080364380.16
