thread_count,matches,simd_mode,samples,min_thr_bytes,avg_thr_bytes,max_thr_bytes
1,1,neon,100000,5386425860.096,5453964220.8256,5506362821.8368
2,1,neon,100000,10166617086.3616,10353233415.3728,10475962105.856
3,1,neon,100000,15073187725.312,15123653591.04,15164455780.352
4,1,neon,100000,18237504880.64,18418967248.896,18549963751.424
5,1,neon,100000,16148003291.136,16167330643.968,16185584254.976
6,1,neon,100000,18391049961.472,18453326987.264,18511309045.76
7,1,neon,100000,19879256129.536,20115479330.816,20305531633.664
1,16,neon,100000,28799903203.328,28843926618.112,28871843905.536
2,16,neon,100000,54697482256.384,54775865409.536,54859617271.808
3,16,neon,100000,78873853165.568,78985522315.264,79080011595.776
4,16,neon,100000,99138582609.92,99678674747.392,100020124647.424
5,16,neon,100000,85920820756.48,86076513320.96,86220394725.376
6,16,neon,100000,99497212379.136,99714108227.584,99915971690.496
7,16,neon,100000,110896055582.72,111304077475.84,111669149696
1,32,neon,100000,567987950059.52,568299335188.48,568589245480.96
2,32,neon,100000,1014567912079.36,1015104782991.36,1015716815831.04
3,32,neon,100000,1475643388723.2,1476609756364.8,1477468749824
4,32,neon,100000,1745152586547.2,1748695934566.4,1752131908403.2
5,32,neon,100000,1626396740812.8,1632517069209.6,1640033261977.6
6,32,neon,100000,1747300070195.2,1793363594444.8,1834810028851.2
7,32,neon,100000,1868525522124.8,1922212613324.8,1966987647385.6
