size,min_thr_melem_s,avg_thr_melem_s,max_thr_melem_s
10,37.545,38.002,38.485
20,35.612,35.874,36.139
30,35.319,35.594,35.875
40,34.669,34.891,35.111
50,34.235,34.418,34.612
60,33.195,33.366,33.540
70,33.809,33.944,34.076
80,33.538,33.687,33.841
90,33.641,33.799,33.963
100,33.325,33.486,33.635
200,31.267,31.425,31.581
300,30.918,30.999,31.080
400,29.626,29.748,29.872
500,28.003,28.120,28.237
600,28.330,28.457,28.583
700,27.684,27.840,28.000
800,27.743,27.893,28.046
900,27.057,27.214,27.378
1000,26.444,26.631,26.822
2000,23.665,23.801,23.929
3000,22.161,22.248,22.320
4000,21.288,21.327,21.362
5000,20.635,20.667,20.699
6000,20.186,20.227,20.264
7000,19.889,19.916,19.940
8000,19.360,19.441,19.508
9000,19.419,19.453,19.486
10000,19.243,19.280,19.315
20000,18.841,18.862,18.881
30000,18.711,18.740,18.764
40000,18.615,18.643,18.669
50000,18.611,18.636,18.659
60000,18.516,18.540,18.563
70000,18.458,18.478,18.497
80000,18.446,18.464,18.481
90000,17.505,17.548,17.592
100000,18.289,18.305,18.321
1000000,16.180,16.209,16.237
2000000,15.705,15.723,15.742
3000000,15.582,15.601,15.618
4000000,15.311,15.327,15.340
5000000,15.034,15.046,15.057
6000000,14.264,14.320,14.375
7000000,14.602,14.613,14.623
8000000,13.717,13.732,13.746
9000000,14.227,14.241,14.255
10000000,14.963,14.979,14.994
