size,min_thr_melem_s,avg_thr_melem_s,max_thr_melem_s
10,47.282,47.957,48.642
20,43.508,44.026,44.505
30,41.122,42.405,43.300
40,41.523,41.826,42.139
50,41.475,41.788,42.087
60,41.197,41.510,41.788
70,40.690,41.017,41.326
80,40.935,41.146,41.334
90,40.020,40.318,40.603
100,39.729,40.069,40.378
200,38.115,38.395,38.649
300,35.771,36.071,36.362
400,33.079,33.456,33.829
500,30.814,31.197,31.582
600,24.682,24.944,25.205
700,24.017,24.287,24.563
800,23.089,23.344,23.609
900,22.475,22.717,22.959
1000,21.547,21.882,22.189
2000,18.231,19.358,20.205
3000,19.202,19.308,19.415
4000,17.938,18.310,18.620
5000,18.671,18.772,18.856
6000,18.663,18.709,18.756
7000,17.925,18.199,18.392
8000,18.503,18.536,18.569
9000,18.417,18.458,18.494
10000,18.365,18.389,18.412
20000,18.226,18.245,18.261
30000,18.164,18.194,18.213
40000,18.156,18.163,18.169
50000,18.174,18.179,18.183
60000,18.089,18.151,18.185
70000,18.157,18.163,18.169
80000,18.143,18.146,18.150
90000,18.121,18.149,18.166
100000,18.162,18.168,18.174
1000000,17.800,17.809,17.817
2000000,16.988,17.000,17.008
3000000,16.507,16.526,16.545
4000000,15.912,16.163,16.312
5000000,16.155,16.174,16.187
6000000,16.022,16.035,16.044
7000000,15.818,15.864,15.904
8000000,15.862,15.869,15.875
9000000,15.697,15.757,15.800
10000000,15.536,15.653,15.731
20000000,15.347,15.406,15.460
30000000,15.187,15.336,15.440
